e;PDF;ec6;pdfc6;dC;LC;dS;LS;dCH;LCH;dIP;LIP
111.7098;0.000825;105.8053;0.003167;33.186947;0.762250966;128.759881;0.761942554;66.203817;0.761891396;87.02518;0.762341382
113.2098;0;107.3053;0;33.333961;0.773379542;130.069499;0.772974284;67.346189;0.772783797;88.002474;0.773095431
114.7098;0.0033;108.8053;0;33.97956;0.784385338;131.379484;0.783783572;67.989774;0.78392135;89.145872;0.783863415
116.2098;0;110.3053;0.004751;35.289318;0.795602964;133.020312;0.795448115;68.632752;0.795427162;90.121952;0.795352945
117.7098;0.000825;111.8053;0.004751;34.93811;0.806635135;134.496274;0.806348542;69.277067;0.806122238;90.932174;0.8066794
119.2098;0;113.3053;0;35.583497;0.817769024;135.639676;0.817434057;69.920781;0.817181841;92.075211;0.817666089
120.7098;0.000825;114.8053;0.001584;36.395682;0.828496995;136.949182;0.828533852;70.563884;0.828611508;93.052408;0.828478387
122.2098;0;116.3053;0.001584;36.708495;0.839824731;138.425298;0.839341189;71.374082;0.839454972;93.863273;0.839414904
123.7098;0;117.8053;0.001584;37.021892;0.850798475;139.734572;0.850581605;72.183168;0.850972094;94.839744;0.850667861
125.2098;0;119.3053;0.001584;37.501441;0.861757076;141.043728;0.861893254;72.826415;0.8623146;95.649876;0.862048648
126.7098;0.000825;120.8053;0.007918;38.645137;0.872935633;142.353282;0.872963739;73.803001;0.872999619;96.793355;0.872767411
128.2098;0;122.3053;0.001584;39.289447;0.884722383;144.160868;0.88424596;74.447042;0.883861163;97.603259;0.884286456
129.7098;0;123.8053;0.001584;39.768128;0.896207136;145.470196;0.895453497;74.923733;0.895463751;98.745488;0.895763066
131.2098;0.000825;125.3053;0.004751;40.248072;0.906926869;147.112903;0.905979712;75.733265;0.906710821;99.390497;0.906535215
132.7098;0;126.8053;0.003167;40.727954;0.917683598;148.754455;0.917205688;76.211282;0.917509133;100.367325;0.917571123
134.2098;0;128.3053;0;41.206434;0.929290469;149.897234;0.928668998;77.021643;0.928253992;101.177828;0.928727408
135.7098;0;129.8053;0;42.019297;0.939606782;151.539096;0.939707104;77.831381;0.939376204;102.320667;0.939834302
137.2098;0;131.3053;0.001584;42.663861;0.951240106;153.181388;0.950484413;78.474267;0.950937452;103.132022;0.950473849
138.7098;0.000825;132.8053;0;42.81038;0.962668862;154.656821;0.961705478;79.283793;0.962187698;104.274121;0.962028739
140.2098;0.00165;134.3053;0.007918;43.290628;0.973203919;156.464047;0.973206345;79.927528;0.973234527;105.084206;0.973438296
141.7098;0;135.8053;0.001584;43.770137;0.984186777;157.774135;0.983953314;80.40548;0.984072731;106.060946;0.984527775
143.2098;0.000825;137.3053;0.001584;44.083368;0.995261046;159.416021;0.994976676;81.215241;0.99518083;106.871909;0.995404886
144.7098;0;138.8053;0;44.728973;1.006263502;161.224028;1.006004442;82.024904;1.006348652;107.682779;1.006338868
146.2098;0.000825;140.3053;0.001584;45.20761;1.017775004;162.698941;1.017540837;82.502028;1.017688622;108.659226;1.017605823
147.7098;0;141.8053;0;45.686873;1.028907246;164.17486;1.028467089;83.311493;1.028975826;109.801794;1.028876845
149.2098;0;143.3053;0.001584;46.000551;1.039710394;165.650685;1.039450571;84.12141;1.039989716;110.44671;1.039705342
150.7098;0;144.8053;0;46.645911;1.050861021;167.125854;1.05083174;84.433126;1.050893635;111.589641;1.050756185
152.2098;0.000825;146.3053;0.001584;46.958078;1.06258021;168.602051;1.061589245;85.077194;1.061738336;112.233818;1.062032533
153.7098;0;147.8053;0;47.437097;1.073860451;170.077593;1.072744446;85.721175;1.072636093;113.210342;1.073253452
155.2098;0;149.3053;0.001584;47.917459;1.084326092;171.71926;1.083900875;86.364509;1.083926366;113.854896;1.084301095
156.7098;0;150.8053;0;48.39636;1.095677623;173.194613;1.095170617;87.007749;1.095272955;114.998022;1.09523412
